No,Nama Desa/Kelurahan,Kode Kemendagri,Kecamatan,Kabupaten,Provinsi,Negara,Y,X
1,Anyar,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
2,Bandulu,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
3,Banjarsari,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
4,Bunihara,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
5,Cikoneng,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
6,Grogol Indah,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
7,Kosambironyok,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
8,Mekarsari,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
9,Sindangkarya,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
10,Sindang Mandi,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
11,Tambang Ayam,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
12,Tanjung Manis,36.04.30,Anyar,Serang,Banten,Indonesia,-6.120674162,106.157199
13,Babakan,36.04.34,Bandung,Serang,Banten,Indonesia,-6.120674162,106.157199
14,Bandung,36.04.34,Bandung,Serang,Banten,Indonesia,-6.120674162,106.157199
15,Blokang,36.04.34,Bandung,Serang,Banten,Indonesia,-6.120674162,106.157199
16,Malabar,36.04.34,Bandung,Serang,Banten,Indonesia,-6.120674162,106.157199
17,Mander,36.04.34,Bandung,Serang,Banten,Indonesia,-6.120674162,106.157199
18,Panamping,36.04.34,Bandung,Serang,Banten,Indonesia,-6.120674162,106.157199
19,Pangawinan,36.04.34,Bandung,Serang,Banten,Indonesia,-6.120674162,106.157199
20,Pringwulung,36.04.34,Bandung,Serang,Banten,Indonesia,-6.120674162,106.157199
21,Baros,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
22,Cisalam,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
23,Curugagung,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
24,Padasuka,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
25,Panyirapan,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
26,Sidamukti,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
27,Sinarmukti,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
28,Sindangmandi,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
29,Sukaindah,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
30,Sukacai,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
31,Sukamanah,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
32,Sukamenak,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
33,Tamansari,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
34,Tejamari,36.04.22,Baros,Serang,Banten,Indonesia,-6.120674162,106.157199
35,Binuang,36.04.18,Binuang,Serang,Banten,Indonesia,-6.120674162,106.157199
36,Cakung,36.04.18,Binuang,Serang,Banten,Indonesia,-6.120674162,106.157199
37,Gembor,36.04.18,Binuang,Serang,Banten,Indonesia,-6.120674162,106.157199
38,Lamaran,36.04.18,Binuang,Serang,Banten,Indonesia,-6.120674162,106.157199
39,Renged,36.04.18,Binuang,Serang,Banten,Indonesia,-6.120674162,106.157199
40,Sukamampir,36.04.18,Binuang,Serang,Banten,Indonesia,-6.120674162,106.157199
41,Warakas,36.04.18,Binuang,Serang,Banten,Indonesia,-6.120674162,106.157199
42,Bojonegara,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
43,Karangkepuh,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
44,Kertasana,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
45,Lambangsari,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
46,Mangkunegara,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
47,Margagiri,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
48,Mekar Jaya,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
49,Pakuncen,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
50,Pengarengan,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
51,Ukirsari,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
52,Wanakarta,36.04.07,Bojonegara,Serang,Banten,Indonesia,-6.120674162,106.157199
53,Carenang,36.04.17,Carenang,Serang,Banten,Indonesia,-6.120674162,106.157199
54,Mandaya,36.04.17,Carenang,Serang,Banten,Indonesia,-6.120674162,106.157199
55,Mekarsari,36.04.17,Carenang,Serang,Banten,Indonesia,-6.120674162,106.157199
56,Pamanuk,36.04.17,Carenang,Serang,Banten,Indonesia,-6.120674162,106.157199
57,Panenjoan,36.04.17,Carenang,Serang,Banten,Indonesia,-6.120674162,106.157199
58,Ragasmesigit,36.04.17,Carenang,Serang,Banten,Indonesia,-6.120674162,106.157199
59,Teras,36.04.17,Carenang,Serang,Banten,Indonesia,-6.120674162,106.157199
60,Walikukun,36.04.17,Carenang,Serang,Banten,Indonesia,-6.120674162,106.157199
61,Bakung,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
62,Cikande,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
63,Cikande Permai,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
64,Gembor Udik,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
65,Julang,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
66,Kamurang,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
67,Koper,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
68,Leuwilimus,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
69,Nambo Udik,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
70,Parigi,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
71,Situterate,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
72,Songgom Jaya,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
73,Sukatani,36.04.15,Cikande,Serang,Banten,Indonesia,-6.120674162,106.157199
74,Bantarpanjang,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
75,Cikeusal,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
76,Cilayang,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
77,Cilayang Guha,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
78,Cimaung,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
79,Dahu,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
80,Gandayasa,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
81,Harundang,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
82,Katulisan,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
83,Mongpok,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
84,Panosogan,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
85,Panyabrangan,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
86,Sukamaju,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
87,Sukamenak,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
88,Sukaraja,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
89,Sukarame,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
90,Sukaratu,36.04.23,Cikeusal,Serang,Banten,Indonesia,-6.120674162,106.157199
91,Bantarwangi,36.04.31,Cinangka,Serang,Banten,Indonesia,-6.120674162,106.157199
92,Bantarwaru,36.04.31,Cinangka,Serang,Banten,Indonesia,-6.120674162,106.157199
93,Baros Jaya,36.04.31,Cinangka,Serang,Banten,Indonesia,-6.120674162,106.157199
94,Bulakan,36.04.31,Cinangka,Serang,Banten,Indonesia,-6.120674162,106.157199
95,Cikolelet,36.04.31,Cinangka,Serang,Banten,Indonesia,-6.120674162,106.157199
96,Cinangka,36.04.31,Cinangka,Serang,Banten,Indonesia,-6.120674162,106.157199
97,Kamasan,36.04.31,Cinangka,Serang,Banten,Indonesia,-6.120674162,106.157199
98,Karangsuraga,36.04.31,Cinangka,Serang,Banten,Indonesia,-6.120674162,106.157199
