kecamatan,Jumlah Curah Hujan Januari,Jumlah Curah Hujan Februari,Jumlah Curah Hujan Maret,Jumlah Curah Hujan April,Jumlah Curah Hujan Mei,Jumlah Curah Hujan Juni,Jumlah Curah Hujan Juli,Jumlah Curah Hujan Agustus,Jumlah Curah Hujan September,Jumlah Curah Hujan Oktober,Jumlah Curah Hujan November,Jumlah Curah Hujan Desember,Januari Jumlah Hari Hujan (hari),Februari Jumlah Hari Hujan (hari),Maret Jumlah Hari Hujan (hari),April Jumlah Hari Hujan (hari),Mei Jumlah Hari Hujan (hari),Juni Jumlah Hari Hujan (hari),Juli Jumlah Hari Hujan (hari),Agustus Jumlah Hari Hujan (hari),September Jumlah Hari Hujan (hari),Oktober Jumlah Hari Hujan (hari),November Jumlah Hari Hujan (hari),Desember Jumlah Hari Hujan (hari),SDM Laki-laki,SDM Perempuan,Tingkat Pendidikan SD Laki-laki,Tingkat Pendidikan SD Perempuan,Tingkat Pendidikan SMP Laki-laki,Tingkat Pendidikan SMP Perempuan,Tingkat Pendidikan SMA Laki-laki,Tingkat Pendidikan SMA Perempuan,Tingkat Pendidikan D1 Laki-laki,Tingkat Pendidikan D1 Perempuan,Tingkat Pendidikan D2 Laki-laki,Tingkat Pendidikan D2 Perempuan,Tingkat Pendidikan D3 Laki-laki,Tingkat Pendidikan D3 Perempuan,Tingkat Pendidikan D4 Laki-laki,Tingkat Pendidikan D4 Perempuan,Tingkat Pendidikan S1 Laki-laki,Tingkat Pendidikan S1 Perempuan,Tingkat Pendidikan S2 Laki-laki,Tingkat Pendidikan S2 Perempuan,Tingkat Pendidikan S3 Laki-laki,Tingkat Pendidikan S3 Perempuan,Jumlah Penduduk Laki-laki 0-4 Tahun,Jumlah Penduduk Perempuan 0-4 Tahun,Jumlah Penduduk Laki-laki 5-9 Tahun,Jumlah Penduduk Perempuan 5-9 Tahun,Jumlah Penduduk Laki-laki 10-14 Tahun,Jumlah Penduduk Perempuan 10-14 Tahun,Jumlah Penduduk Laki-laki 15-19 Tahun,Jumlah Penduduk Perempuan 15-19 Tahun,Jumlah Penduduk Laki-laki 20-24 Tahun,Jumlah Penduduk Perempuan 20-24 Tahun,Jumlah Penduduk Laki-laki 25-29 Tahun,Jumlah Penduduk Perempuan 25-29 Tahun,Jumlah Penduduk Laki-laki 30-44 Tahun,Jumlah Penduduk Perempuan 30-34 Tahun,Jumlah Penduduk Laki-laki35-39 Tahun,Jumlah Penduduk Perempuan 35-39 Tahun,Jumlah Penduduk Laki-laki 40-44 Tahun,Jumlah Penduduk Perempuan 40-44 Tahun,Jumlah Penduduk Laki-laki 45-49 Tahun,Jumlah Penduduk Perempuan 45-49 Tahun,Jumlah Penduduk Laki-laki 50-54 Tahun,Jumlah Penduduk Perempuan 50-54 Tahun,Jumlah Penduduk Laki-laki 55-59 Tahun,Jumlah Penduduk Perempuan 55-59 Tahun,Jumlah Penduduk Laki-laki 60-64 Tahun,Jumlah Penduduk Perempuan 60-64 Tahun,Jumlah Penduduk Laki-laki 65-69 Tahun,Jumlah Penduduk Perempuan 65-69 Tahun,Jumlah Penduduk Laki-laki 70-74 Tahun,Jumlah Penduduk Perempuan 70-74 Tahun,Jumlah Penduduk Laki-laki 75++ Tahun,Jumlah Penduduk Perempuan 75++ Tahun ,Tingkat Pendidikan SD,Tingkat Pendidikan MI,Tingkat Pendidikan SMP,Tingkat Pendidikan MTS,Tingkat Pendidikan SMA,Tingkat Pendidikan SMK,Tingkat Pendidikan MA,Tingkat Pendidikan Akademi/PT
Kramatwatu,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,45,7,,,,,,,,,,,,,,,,,,,,,4271,3985,5745,4439,4631,4199,3853,3667,4835,4665,4794,4702,4647,4352,4037,3909,3515,3570,3359,3502,3109,3264,2550,2514,1921,1621,1014,819,471,448,353,383,32,0,9,7,2,9,2,5
Waringinkurung,198.7,283.2,120.4,234,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,10,3,,,,,2,1,,,,,,,,,8,0,0,2,,,2174,2125,2426,2315,2253,2124,1919,1882,2263,2361,2530,2265,2378,2140,2122,2022,1929,1843,1732,1596,1407,1412,1065,1009,776,727,428,416,236,294,209,253,11,2,3,5,2,2,2,0
Bojonegara,198.7,283.2,120.4,234,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,15,3,,,,,1,,,,,,,,,,13,3,1,,,,2354,2214,2444,2335,2151,2004,1841,1744,2361,2265,2326,2279,2321,2143,2232,2198,1961,1904,1824,1749,1445,1313,964,991,713,719,442,484,282,289,184,203,11,0,5,3,1,1,2,0
Pulo Ampel,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,11,4,,,,,4,2,,,,,2,0,,,3,2,2,0,,,1823,1665,2058,1911,1763,1771,1428,1363,1765,1615,1732,1658,1597,1533,1702,1767,1478,1580,1489,1484,1314,1247,870,848,679,680,381,359,180,264,205,240,9,0,3,5,1,1,2,0
Ciruas,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,19,3,,,,,6,1,,,,,,,,,11,2,2,,,,3579,3335,4155,3836,3815,3562,3353,3395,4074,3795,3654,3453,3748,3495,3657,3668,3395,3843,3255,3349,2603,2243,1576,1447,1952,1196,692,749,399,416,202,342,15,3,6,5,3,5,1,1
Kragilan,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,11,2,,,,,,,,,,,,,,,9,1,2,1,,,3629,3276,4225,3935,3836,3600,3153,3052,3718,3533,3581,3468,3755,3660,3510,3632,3453,3967,3069,3124,2344,2125,1514,1320,997,1049,658,646,387,423,275,359,12,1,7,4,3,2,3,0
Pontang,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,18,3,,,,,8,,,,,,,,,,10,1,0,2,,,1925,1722,2576,2262,1946,1811,1577,1697,2185,2060,2362,2066,2273,2032,2132,1978,1682,1953,1538,1646,1289,1439,1065,1124,832,975,309,561,546,365,211,291,26,5,7,8,4,3,1,0
Tirtayasa,198.7,283.2,120.4,234.0,49.9,"127,6",45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,19,3,,,,,1,,,,,,,,,,15,2,3,1,,,2100,1949,2639,2411,1932,1891,1641,1590,2188,2079,2406,2147,2629,2185,2127,2134,1627,1773,1480,1478,1188,1357,1038,1156,790,943,535,542,309,331,220,337,14,5,6,5,2,3,4,0
Tanara,198.7,283.2,120.4,234.0,49.9,"127,7",45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,13,2,,,,,,,,,,,,,,,7,2,6,0,,,1771,1689,2371,2152,1880,1746,1663,1557,2335,2201,2377,2137,2187,1982,1734,1730,1341,1535,1179,1213,979,1125,839,939,663,750,425,469,245,304,181,249,9,5,3,7,2,1,5,
Cikande,198.7,283.2,120.4,234.0,49.9,127.6,45.3,31.3,207.9,90.5,209.2,235.7,24,24,25,17,14,21,10,13,18,12,26,25,22,1,,,,,16,0,,,,,,,,,5,1,1,0,,,4967,4700,5769,5403,5182,4828,4317,4163,5166,4963,5266,5314,5106,5041,5122,5242,4340,4440,3910,4050,3233,2974,2216,1864,1276,1225,782,804,419,516,424,519,13,11,7,7,1,5,7,0
