b,kode_kecamatan,kode_desa,kecamatan,desa,Hotel,Penginapan,Menara Telepon Seluler,Operator Layanan Komunikasi Telepon Seluler,,,,,,,,,,,,
1,36.04.05,36.04.05.2011,Kramatwatu,Lebakwana,1,0,2,0,,,,,,,,,,,,
2,36.04.05,36.04.05.2013,Kramatwatu,Pelamunan,0,0,2,0,,,,,,,,,,,,
3,36.04.05,36.04.05.2002,Kramatwatu,Margasana,0,0,1,0,,,,,,,,,,,,
4,36.04.05,36.04.05.2001,Kramatwatu,Kramatwatu,0,0,3,0,,,,,,,,,,,,
5,36.04.05,36.04.05.2003,Kramatwatu,Pejaten,0,0,2,0,,,,,,,,,,,,
6,36.04.05,36.04.05.2012,Kramatwatu,Wanayasa,1,0,2,0,,,,,,,,,,,,
7,36.04.05,36.04.05.2005,Kramatwatu,Harjatani,1,0,2,0,,,,,,,,,,,,
8,36.04.05,36.04.05.2006,Kramatwatu,Serdang,0,0,1,0,,,,,,,,,,,,
9,36.04.05,36.04.05.2004,Kramatwatu,Toyomerto,0,0,1,0,,,,,,,,,,,,
10,36.04.05,36.04.05.2010,Kramatwatu,Pegadingan,0,0,0,0,,,,,,,,,,,,
11,36.04.05,36.04.05.2009,Kramatwatu,Pamengkang,0,0,0,0,,,,,,,,,,,,
12,36.04.05,36.04.05.2008,Kramatwatu,Tonjong,0,0,1,0,,,,,,,,,,,,
13,36.04.05,36.04.05.2007,Kramatwatu,Terate,0,0,0,0,,,,,,,,,,,,
14,36.04.05,36.04.05.2014,Kramatwatu,Teluk Terate,0,0,2,0,,,,,,,,,,,,
15,36.04.05,36.04.05.2015,Kramatwatu,Margatani,0,0,1,0,,,,,,,,,,,,
16,36.04.06,36.04.06.2001,Waringinkurung,Waringinkurung,2,1,5,4,,,,,,,,,,,,
17,36.04.06,36.04.06.2002,Waringinkurung,Talaga Luhur,0,0,0,4,,,,,,,,,,,,
18,36.04.06,36.04.06.2003,Waringinkurung,Binangun,0,0,1,4,,,,,,,,,,,,
19,36.04.06,36.04.06.2004,Waringinkurung,Melati,0,0,1,4,,,,,,,,,,,,
20,36.04.06,36.04.06.2005,Waringinkurung,Sasahan,0,0,3,4,,,,,,,,,,,,
21,36.04.06,36.04.06.2006,Waringinkurung,Suka Dalem,0,0,2,4,,,,,,,,,,,,
22,36.04.06,36.04.06.2007,Waringinkurung,Sukabares,0,0,5,4,,,,,,,,,,,,
23,36.04.06,36.04.06.2008,Waringinkurung,Sambilawang,0,0,3,4,,,,,,,,,,,,
24,36.04.06,36.04.06.2009,Waringinkurung,Sampir,0,0,0,4,,,,,,,,,,,,
25,36.04.06,36.04.06.2010,Waringinkurung,Cokopsulanjana,0,0,1,4,,,,,,,,,,,,
26,36.04.06,36.04.06.2011,Waringinkurung,Kemuning,0,0,1,4,,,,,,,,,,,,
27,36.04.07,36.04.07.2001,Bojonegara,Bojonegara,0,0,1,5,,,,,,,,,,,,
28,36.04.07,36.04.07.2002,Bojonegara,Mangkunegara,0,0,0,5,,,,,,,,,,,,
29,36.04.07,36.04.07.2003,Bojonegara,Wanakarta,0,0,2,6,,,,,,,,,,,,
30,36.04.07,36.04.07.2004,Bojonegara,Karang Kepuh,0,0,3,6,,,,,,,,,,,,
31,36.04.07,36.04.07.2005,Bojonegara,Lambangsari,0,0,1,5,,,,,,,,,,,,
32,36.04.07,36.04.07.2006,Bojonegara,Kertasana,0,0,1,6,,,,,,,,,,,,
33,36.04.07,36.04.07.2007,Bojonegara,Margagiri,0,0,3,5,,,,,,,,,,,,
34,36.04.07,36.04.07.2008,Bojonegara,Ukirsari,0,0,1,5,,,,,,,,,,,,
35,36.04.07,36.04.07.2009,Bojonegara,Pakuncen,0,0,0,4,,,,,,,,,,,,
36,36.04.07,36.04.07.2010,Bojonegara,Pangarengan,0,0,1,5,,,,,,,,,,,,
37,36.04.07,36.04.07.2011,Bojonegara,Mekar Jaya,0,0,0,3,,,,,,,,,,,,
38,36.04.08,36.04.08.2001,Pulo Ampel,Pulo Ampel,0,0,2,5,,,,,,,,,,,,
39,36.04.08,36.04.08.2002,Pulo Ampel,Sumuranja,0,0,2,4,,,,,,,,,,,,
40,36.04.08,36.04.08.2003,Pulo Ampel,Mangunreja,0,0,2,3,,,,,,,,,,,,
41,36.04.08,36.04.08.2004,Pulo Ampel,Gedung Soka,0,0,0,1,,,,,,,,,,,,
42,36.04.08,36.04.08.2005,Pulo Ampel,Salira,0,0,2,4,,,,,,,,,,,,
43,36.04.08,36.04.08.2006,Pulo Ampel,Argawana,0,0,2,5,,,,,,,,,,,,
44,36.04.08,36.04.08.2007,Pulo Ampel,Banyuwangi,0,0,0,4,,,,,,,,,,,,
45,36.04.08,36.04.08.2008,Pulo Ampel,Margasari,0,0,4,4,,,,,,,,,,,,
46,36.04.08,36.04.08.2009,Pulo Ampel,Pulo Panjang,0,0,3,3,,,,,,,,,,,,
47,36.04.09,36.04.09.2001,Ciruas,Ciruas,0,1,0,7,,,,,,,,,,,,
48,36.04.09,36.04.09.2002,Ciruas,Citerep,0,0,5,7,,,,,,,,,,,,
49,36.04.09,36.04.09.2003,Ciruas,Pulo,0,0,4,7,,,,,,,,,,,,
50,36.04.09,36.04.09.2004,Ciruas,Kadikaran,0,0,1,7,,,,,,,,,,,,
51,36.04.09,36.04.09.2005,Ciruas,Kepandean,0,0,1,7,,,,,,,,,,,,
52,36.04.09,36.04.09.2006,Ciruas,Gosara,0,0,1,7,,,,,,,,,,,,
53,36.04.09,36.04.09.2009,Ciruas,Bumijaya,0,0,3,7,,,,,,,,,,,,
54,36.04.09,36.04.09.2010,Ciruas,Penggalang,0,0,0,7,,,,,,,,,,,,
55,36.04.09,36.04.09.2011,Ciruas,Pamong,0,0,0,5,,,,,,,,,,,,
56,36.04.09,36.04.09.2012,Ciruas,Cigelam,0,0,1,7,,,,,,,,,,,,
57,36.04.09,36.04.09.2013,Ciruas,Singamerta,0,0,0,7,,,,,,,,,,,,
58,36.04.09,36.04.09.2014,Ciruas,Ranjeng,0,0,1,7,,,,,,,,,,,,
59,36.04.09,36.04.09.2015,Ciruas,Beberan,0,0,1,7,,,,,,,,,,,,
60,36.04.09,36.04.09.2016,Ciruas,Kaserangan,0,0,3,7,,,,,,,,,,,,
61,36.04.09,36.04.09.2017,Ciruas,Pelawad,0,0,0,7,,,,,,,,,,,,
62,36.04.11,36.04.11.2001,Kragilan,Kragilan,0,0,2,5,,,,,,,,,,,,
63,36.04.11,36.04.11.2002,Kragilan,Silebu,0,0,2,5,,,,,,,,,,,,
64,36.04.11,36.04.11.2003,Kragilan,Pematang,0,0,3,5,,,,,,,,,,,,
65,36.04.11,36.04.11.2004,Kragilan,Dukuh,0,0,3,5,,,,,,,,,,,,
66,36.04.11,36.04.11.2005,Kragilan,Undar Andir,0,0,1,5,,,,,,,,,,,,
67,36.04.11,36.04.11.2006,Kragilan,Sukajadi,0,0,2,5,,,,,,,,,,,,
68,36.04.11,36.04.11.2007,Kragilan,Sentul,0,0,4,5,,,,,,,,,,,,
69,36.04.11,36.04.11.2008,Kragilan,Jeruk Tipis,0,0,1,5,,,,,,,,,,,,
70,36.04.11,36.04.11.2011,Kragilan,Kendayakan,0,0,4,5,,,,,,,,,,,,
71,36.04.11,36.04.11.2012,Kragilan,Tegalmaja,0,0,4,5,,,,,,,,,,,,
72,36.04.11,36.04.11.2013,Kragilan,Cisait,0,0,2,5,,,,,,,,,,,,
73,36.04.11,36.04.11.2014,Kragilan,Kramatjati,0,0,1,5,,,,,,,,,,,,
74,36.04.12,36.04.12.2001,Pontang,Pontang,0,0,0,5,,,,,,,,,,,,
75,36.04.12,36.04.12.2002,Pontang,Sukanegara,0,0,0,5,,,,,,,,,,,,
76,36.04.12,36.04.12.2003,Pontang,Linduk,0,0,2,5,,,,,,,,,,,,
77,36.04.12,36.04.12.2004,Pontang,Pulokencana,0,0,2,5,,,,,,,,,,,,
78,36.04.12,36.04.12.2006,Pontang,Kelapian,0,0,0,5,,,,,,,,,,,,
79,36.04.12,36.04.12.2008,Pontang,Kubang Puji,0,0,0,5,,,,,,,,,,,,
80,36.04.12,36.04.12.2009,Pontang,Domas,0,0,0,5,,,,,,,,,,,,
81,36.04.12,36.04.12.2010,Pontang,Singarajan,0,0,4,6,,,,,,,,,,,,
82,36.04.12,36.04.12.2011,Pontang,Kaserangan,0,0,0,5,,,,,,,,,,,, 
